ID,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10
110,11900,8856.5,145812,2204,17,10,111,3,10,5800
111,2455.1009,9899.2,237341,1896,14,1,54,3,14,2450
112,8925,4930,27873,1198,17,23,253,6,3,3600
113,8627.5,10869.2,58535,1598,17,26,249,6,7,3350
114,9500.008,6952,146255,999,14,20,236,3,14,4550
115,6249.999,6337,64328,999,7,11,384,6,6,3300
116,9663.9,11026,162109,999,7,32,277,3,4,5900
118,6188,6645.7,183216,1596,14,9,166,6,7,2200
119,6902,6076.1,76017,1397,17,25,17,6,9,1400
120,5831,3539.8,88808,1390,14,28,161,6,11,2000
121,3689,7700,141098,1390,14,32,173,6,11,725
122,5630.2,9445,165516,2148,7,20,95,3,10,3050
123,4284,5500,170369,1997,3,6,107,3,9,1150
124,4564.81025,5824,124473,999,7,28,161,6,7,2200
126,9520,6035,188227,999,7,1,56,3,11,3800
127,1.19,5188.3,85224,998,7,31,86,6,9,1250
128,7854,12000,77133,1398,14,24,138,6,5,1800
129,4899.944,7041,255644,999,7,1,54,3,11,2450
130,20000,16563,78341,999,7,19,145,3,4,7800
131,4403,3377,116209,999,7,8,200,6,10,1550
132,17731,11723,25512,999,7,27,228,6,2,8200
133,13277.3,25191,96605,999,7,32,277,3,3,5100
134,9817.5,4811,133683,999,17,2,0,3,10,4400
135,18921,19180,66755,999,7,9,222,3,6,5400
136,9996,6415,24202,1242,7,9,164,6,3,3450
137,10400.005,9446,146278,1968,17,32,277,3,6,4750
138,3808,4810,77442,1388,7,9,164,6,12,200
140,4165,2736.9,191113,1560,7,19,23,3,11,2100
141,7735,13800,172081,1910,7,24,76,3,10,2350
142,8092,10000,109211,1596,7,9,166,6,6,2750
143,7437.5,5298,101456,1388,7,9,164,6,8,3300
144,5474,4598.1,78776,998,17,31,86,6,9,1800
145,13685,11304.5,42231,1598,7,6,151,6,4,4150
147,5236,6828.8,124434,1598,14,26,248,6,10,1100
148,5236,4472,31140,999,7,26,124,6,11,1100
149,16660,11187,10153,999,14,24,81,6,1,8500
150,4450.005,5927,45138,1242,7,8,275,6,6,1350
151,4379.363625,8265,82300,1598,7,7,314,6,5,2700
152,8092,11758.2,130360,1582,14,11,384,3,5,3550
153,3570,4042,116048,1086,14,11,382,6,7,1600
154,3689,6214.3,220461,1390,7,32,183,6,12,1550
155,11067,8096.9,16704,1248,7,11,383,6,2,4300
156,7378,7000.8,71547,1242,14,9,164,6,7,3700
158,3213,3293,149037,1686,17,24,251,3,12,1000
159,3451,2542,118060,1198,14,27,203,6,9,1050
161,6426,7191.3,73612,1242,17,9,217,6,7,1900
163,5831,8149.5,159627,1598,14,32,183,6,13,1550
164,17493,15151.2,25404,1364,17,24,76,6,2,6900
165,9460.5,22184.9,197425,1968,14,32,277,3,9,1350
166,4046,7266.5,171351,1328,7,30,334,6,10,1350
167,7735,11437.4,228341,1968,7,32,183,3,10,1800
168,10531.5,5954.9,16116,1242,17,30,328,6,6,3200
171,8092,5307.9,81063,1364,17,24,76,6,7,2900
172,6545,10500,97529,1598,7,28,162,3,4,2200
174,5304.226667,7010,159529,1390,7,32,282,6,7,3600
175,19992,7797,50300,999,14,32,183,6,3,9300
176,6545,5307,128913,1390,17,32,183,6,12,1950
177,3451,2542,118060,1198,14,27,203,6,9,875
178,3570,8403.4,279065,1910,7,24,362,3,9,1850
179,4998,3280,78780,1149,7,26,352,6,9,1450
180,5239.57,2953,89289,1390,17,32,282,6,12,1500
181,3865.6,5242.8,84015,1598,7,27,228,6,11,2000
182,7735,11000,131062,1248,7,24,138,3,6,2550
